TEAM_ID,SEASON,W,W_PCT
1610612740,2005-06,38.0,0.463
1610612752,2005-06,23.0,0.28
1610612753,2005-06,36.0,0.439
1610612755,2005-06,38.0,0.463
1610612756,2005-06,54.0,0.659
1610612757,2005-06,21.0,0.256
1610612758,2005-06,44.0,0.537
1610612759,2005-06,63.0,0.768
1610612760,2005-06,35.0,0.427
1610612761,2005-06,27.0,0.329
1610612762,2005-06,41.0,0.5
1610612764,2005-06,42.0,0.512
1610612737,2006-07,30.0,0.366
1610612738,2006-07,24.0,0.293
1610612766,2006-07,33.0,0.402
1610612741,2006-07,49.0,0.598
1610612739,2006-07,50.0,0.61
1610612742,2006-07,67.0,0.817
1610612743,2006-07,45.0,0.549
1610612765,2006-07,53.0,0.646
1610612744,2006-07,42.0,0.512
1610612745,2006-07,52.0,0.634
1610612754,2006-07,35.0,0.427
1610612746,2006-07,40.0,0.488
1610612747,2006-07,42.0,0.512
1610612763,2006-07,22.0,0.268
1610612748,2006-07,44.0,0.537
1610612749,2006-07,28.0,0.341
1610612750,2006-07,32.0,0.39
1610612751,2006-07,41.0,0.5
1610612740,2006-07,39.0,0.476
1610612752,2006-07,33.0,0.402
1610612753,2006-07,40.0,0.488
1610612755,2006-07,35.0,0.427
1610612756,2006-07,61.0,0.744
1610612757,2006-07,32.0,0.39
1610612758,2006-07,33.0,0.402
1610612759,2006-07,58.0,0.707
1610612760,2006-07,31.0,0.378
1610612761,2006-07,47.0,0.573
1610612762,2006-07,51.0,0.622
1610612764,2006-07,41.0,0.5
1610612737,2007-08,37.0,0.451
1610612738,2007-08,66.0,0.805
1610612766,2007-08,32.0,0.39
1610612741,2007-08,33.0,0.402
1610612739,2007-08,45.0,0.549
1610612742,2007-08,51.0,0.622
1610612743,2007-08,50.0,0.61
1610612765,2007-08,59.0,0.72
1610612744,2007-08,48.0,0.585
1610612745,2007-08,55.0,0.671
1610612754,2007-08,36.0,0.439
1610612746,2007-08,23.0,0.28
1610612747,2007-08,57.0,0.695
1610612763,2007-08,22.0,0.268
1610612748,2007-08,15.0,0.183
1610612749,2007-08,26.0,0.317
1610612750,2007-08,22.0,0.268
1610612751,2007-08,34.0,0.415
1610612740,2007-08,56.0,0.683
1610612752,2007-08,23.0,0.28
1610612753,2007-08,52.0,0.634
1610612755,2007-08,40.0,0.488
1610612756,2007-08,55.0,0.671
1610612757,2007-08,41.0,0.5
1610612758,2007-08,38.0,0.463
1610612759,2007-08,56.0,0.683
1610612760,2007-08,20.0,0.244
1610612761,2007-08,41.0,0.5
1610612762,2007-08,54.0,0.659
1610612764,2007-08,43.0,0.524
1610612737,2008-09,47.0,0.573
1610612738,2008-09,62.0,0.756
1610612766,2008-09,35.0,0.427
1610612741,2008-09,41.0,0.5
1610612739,2008-09,66.0,0.805
1610612742,2008-09,50.0,0.61
1610612743,2008-09,54.0,0.659
1610612765,2008-09,39.0,0.476
1610612744,2008-09,29.0,0.354
1610612745,2008-09,53.0,0.646
1610612754,2008-09,36.0,0.439
1610612746,2008-09,19.0,0.232
1610612747,2008-09,65.0,0.793
1610612763,2008-09,24.0,0.293
1610612748,2008-09,43.0,0.524
1610612749,2008-09,34.0,0.415
1610612750,2008-09,24.0,0.293
1610612751,2008-09,34.0,0.415
1610612740,2008-09,49.0,0.598
1610612752,2008-09,32.0,0.39
1610612760,2008-09,23.0,0.28
1610612753,2008-09,59.0,0.72
1610612755,2008-09,41.0,0.5
1610612756,2008-09,46.0,0.561
1610612757,2008-09,54.0,0.659
1610612758,2008-09,17.0,0.207
1610612759,2008-09,54.0,0.659
1610612761,2008-09,33.0,0.402
1610612762,2008-09,48.0,0.585
1610612764,2008-09,19.0,0.232
1610612737,2009-10,53.0,0.646
1610612738,2009-10,50.0,0.61
1610612766,2009-10,44.0,0.537
1610612741,2009-10,41.0,0.5
1610612739,2009-10,61.0,0.744
1610612742,2009-10,55.0,0.671
1610612743,2009-10,53.0,0.646
1610612765,2009-10,27.0,0.329
1610612744,2009-10,26.0,0.317
1610612745,2009-10,42.0,0.512
1610612754,2009-10,32.0,0.39
1610612746,2009-10,29.0,0.354
